[1, 4, 2]; 26.03; 6; 11
[1, 4, 3]; 26.045434782608694; 10; 3
[1, 2, 4]; 116.025; 5; 8
[1, 4, 5]; 26.02534482758621; 6; 3
[2, 4, 3]; 26.045434782608694; 10; 5
[2, 1, 4]; 116.025; 5; 8
[2, 4, 5]; 26.02534482758621; 6; 7
[3, 5, 4]; 26.02534482758621; 6; 9
[3, 4, 5]; 116.0407796101949; 10; 4
[4, 3, 5]; 26.045434782608694; 10; 13
[1, 5, 4, 2]; 129.0453448275862; 12; 18
[1, 4, 5, 3]; 39.04034482758621; 9; 19
[1, 3, 5, 4]; 39.05534482758621; 15; 46
[1, 4, 3, 5]; 39.060434782608695; 13; 8
[2, 4, 5, 3]; 39.04034482758621; 9; 27
[2, 3, 5, 4]; 129.0453448275862; 10; 26
[2, 4, 3, 5]; 39.060434782608695; 13; 23
[3, 5, 1, 4]; 129.05; 12; 49
[3, 1, 4, 5]; 39.05534482758621; 15; 44
[4, 1, 3, 5]; 39.06; 15; 23
[1, 3, 5, 4, 2]; 52.07034482758621; 18; 112
[1, 2, 4, 5, 3]; 142.05034482758623; 11; 21
[1, 3, 5, 2, 4]; 142.08666666666664; 23; 56
[1, 4, 2, 3, 5]; 142.065; 13; 48
[2, 1, 4, 5, 3]; 142.05034482758623; 11; 25
[2, 1, 3, 5, 4]; 142.06534482758622; 17; 262
[2, 4, 1, 3, 5]; 52.075; 18; 16
[3, 5, 1, 2, 4]; 232.06; 14; 70
[3, 1, 2, 4, 5]; 142.06534482758622; 17; 191
[4, 2, 1, 3, 5]; 142.07; 17; 42
